description,min_salary,max_salary,min_vacany,max_vacany,min_expense,max_expense
Advertising,5987.450699472759,9735.553117750438,0,75,13193.038481546573,9739.720077328646
Aerospace & Defense,14433.333333333334,19066.666666666668,0,2,9133.333333333334,19067.333333333332
Apparel Retail,6254.117647058823,9691.764705882353,0,2,2329.4117647058824,9692.29411764706
"Apparel, Accessories & Luxury Goods",6466.666666666667,9722.222222222223,0,2,4977.777777777777,9723.037037037036
Application Software,8529.807060044477,14396.753150481838,0,9,238434.30689399556,14417.553002223869
Asset Management & Custody Banks,12000.0,14400.0,0,0,0.0,14400.0
Auto Parts & Equipment,7851.983338983051,12540.11893220339,0,8,7265.338983050848,12541.86045762712
Casinos & Gaming,5284.615384615385,8400.0,0,5,8492.307692307691,8401.615384615385
Commodity Chemicals,10715.384615384615,15387.692307692309,0,3,10269.23076923077,15388.615384615385
Communications Equipment,8827.384615384615,14042.461538461539,0,8,7536.923076923077,14043.625641025641
Construction & Engineering,6317.234042553191,10079.36170212766,0,7,15190.053191489362,10083.204787234043
Construction Machinery & Heavy Trucks,5986.567164179104,9331.34328358209,0,3,4544.776119402985,9332.23880597015
Consumer Finance,5440.0,8000.0,0,9,9680.0,8003.466666666666
Data Processing & Outsourced Services,5838.507717851329,9681.55181768855,0,99,59468.64336625068,9707.849701573521
Diversified Metals & Mining,8400.0,12000.0,0,1,3600.0,12000.5
Diversified Support Services,4950.114068441065,8061.444866920152,0,9,11544.638783269962,8065.528517110266
Electric Utilities,18000.0,21600.0,3,3,54000.0,21603.0
Electrical Components & Equipment,1950.0,5010.0,0,3,900.0,5011.5
Electronic Equipment & Instruments,2175.0,4875.0,0,3,15825.0,4882.0
Environmental & Facilities Services,6014.634146341464,10741.463414634147,0,5,4017.0731707317073,10742.585365853658
Gold,3165.0,6015.0,0,4,2475.0,6015.8
Health Care Equipment,4680.0,7380.0,0,6,4620.0,7381.9
Health Care Facilities,3030.0,5175.0,0,5,21052.5,5185.3125
Health Care Services,7171.726618705036,11341.726618705035,0,90,196958.6330935252,11395.496402877698
Health Care Technology,6552.936567335243,10267.778974212033,0,80,24828.051575931233,10276.8491747851
"Hotels, Resorts & Cruise Lines",4080.0,7340.0,0,7,173120.0,7401.666666666667
Human Resource & Employment Services,6292.230166666666,10885.93137254902,0,9,12648.357617647058,10889.718137254902
