description,min_salary,max_salary,vacany
Advertising,60000.0,67000.0,1
Application Software,100743.0,115854.0,1
Asset Management & Custody Banks,123200.0,145600.0,1
Auto Parts & Equipment,62729.8,102580.4,1
Commodity Chemicals,94070.0,94070.0,2
Communications Equipment,68089.0,110157.0,1
Construction & Engineering,63637.842442528716,98445.22060344824,1
Construction Machinery & Heavy Trucks,55226.6,55226.6,1
Data Processing & Outsourced Services,73002.85195824176,103154.9178021978,1
Diversified Support Services,53982.1707913669,68961.14491606715,1
Electric Utilities,67.72,67.72,1
Environmental & Facilities Services,53404.9759375,68309.686875,1
Gold,43569.666666666664,59054.666666666664,12
Health Care Facilities,92119.25,94210.0,1
