description,min_salary,max_salary,min_vacany,max_vacany,min_expense,max_expense
Advertising,60000.0,67000.0,1,1,60000.0,67001.0
Application Software,100743.0,115854.0,1,1,100743.0,115855.0
Asset Management & Custody Banks,123200.0,145600.0,1,1,123200.0,145601.0
Auto Parts & Equipment,62729.8,102580.4,1,1,62729.8,102581.4
Commodity Chemicals,94070.0,94070.0,2,2,188140.0,94072.0
Communications Equipment,68089.0,110157.0,1,1,68089.0,110158.0
Construction & Engineering,63637.842442528716,98445.22060344824,1,7,85651.46272988502,98446.59560344824
Construction Machinery & Heavy Trucks,55226.6,55226.6,1,3,84691.13333333333,55228.6
Data Processing & Outsourced Services,73002.85195824176,103154.9178021978,1,7,82466.82998021979,103156.07164835164
Diversified Support Services,53982.1707913669,68961.14491606715,1,9,114676.52330935252,68963.48784172662
Electric Utilities,67.72,67.72,1,1,67.72,68.72
Environmental & Facilities Services,53404.9759375,68309.686875,1,9,143849.52125000002,68312.030625
Gold,43569.666666666664,59054.666666666664,12,3,238862.0,59060.333333333336
Health Care Facilities,92119.25,94210.0,1,3,172507.25,94211.75
