min_salary,max_salary,vacany,description,min_expense,max_expense
6000.0,10800.0,1,IT Consulting & Other Services,6000.0,10801.0
600.0,600.0,0,Construction & Engineering,0.0,600.0
1800.0,2400.0,5,Health Care Technology,9000.0,2405.0
9600.0,15600.0,1,IT Consulting & Other Services,9600.0,15601.0
3600.0,4500.0,200,Data Processing & Outsourced Services,720000.0,4700.0
1080.0,2100.0,1,Application Software,1080.0,2101.0
9600.0,16800.0,1,Systems Software,9600.0,16801.0
9600.0,18000.0,0,Application Software,0.0,18000.0
19200.0,30000.0,0,Regional Banks,0.0,30000.0
12000.0,24000.0,0,Regional Banks,0.0,24000.0
4800.0,6000.0,1,Personal Products,4800.0,6001.0
1200.0,2400.0,1,Human Resource & Employment Services,1200.0,2401.0
1200.0,4800.0,0,Human Resource & Employment Services,0.0,4800.0
3600.0,4200.0,15,Data Processing & Outsourced Services,54000.0,4215.0
6000.0,18000.0,20,Application Software,120000.0,18020.0
16800.0,20400.0,0,Data Processing & Outsourced Services,0.0,20400.0
3000.0,4500.0,0,Systems Software,0.0,4500.0
12000.0,14400.0,2,Research & Consulting Services,24000.0,14402.0
8400.0,14400.0,0,Systems Software,0.0,14400.0
7800.0,13200.0,5,Application Software,39000.0,13205.0
2400.0,6000.0,1,Systems Software,2400.0,6001.0
8400.0,13200.0,1,Systems Software,8400.0,13201.0
6000.0,12000.0,3,IT Consulting & Other Services,18000.0,12003.0
8400.0,20400.0,4,Systems Software,33600.0,20404.0
4800.0,9600.0,1,Systems Software,4800.0,9601.0
2400.0,4800.0,2,Systems Software,4800.0,4802.0
9600.0,19200.0,0,Application Software,0.0,19200.0
8400.0,10200.0,0,Systems Software,0.0,10200.0
3000.0,6600.0,400,Health Care Services,1200000.0,7000.0
30000.0,42000.0,0,Systems Software,0.0,42000.0
1500.0,3600.0,1,Application Software,1500.0,3601.0
12000.0,24000.0,0,Research & Consulting Services,0.0,24000.0
6000.0,10800.0,0,Data Processing & Outsourced Services,0.0,10800.0
3600.0,7200.0,1,IT Consulting & Other Services,3600.0,7201.0
13200.0,22800.0,1,Systems Software,13200.0,22801.0
16800.0,21600.0,1,Systems Software,16800.0,21601.0
2100.0,2400.0,1,Health Care Services,2100.0,2401.0
14400.0,19200.0,1,Systems Software,14400.0,19201.0
3600.0,8400.0,0,Research & Consulting Services,0.0,8400.0
4800.0,7200.0,2,Data Processing & Outsourced Services,9600.0,7202.0
14400.0,26400.0,0,Health Care Technology,0.0,26400.0
7200.0,9600.0,1,IT Consulting & Other Services,7200.0,9601.0
8400.0,20400.0,5,Systems Software,42000.0,20405.0
8400.0,12000.0,0,IT Consulting & Other Services,0.0,12000.0
3600.0,9600.0,4,Gold,14400.0,9604.0
4800.0,9600.0,1,Human Resource & Employment Services,4800.0,9601.0
6000.0,12000.0,5,Data Processing & Outsourced Services,30000.0,12005.0
12000.0,16800.0,1,Application Software,12000.0,16801.0
1200.0,4800.0,1,Systems Software,1200.0,4801.0
2400.0,6000.0,0,Systems Software,0.0,6000.0
16800.0,19200.0,0,Systems Software,0.0,19200.0
1800.0,3900.0,0,Systems Software,0.0,3900.0
1200.0,4200.0,10,Real Estate Operating Companies,12000.0,4210.0
2400.0,6000.0,125,Health Care Services,300000.0,6125.0
600.0,3600.0,1,Application Software,600.0,3601.0
6000.0,7200.0,1,Systems Software,6000.0,7201.0
3000.0,5400.0,4,Advertising,12000.0,5404.0
3000.0,3600.0,16,Data Processing & Outsourced Services,48000.0,3616.0
6000.0,16800.0,0,Systems Software,0.0,16800.0
24000.0,42000.0,0,Real Estate Operating Companies,0.0,42000.0
4800.0,8400.0,1,Systems Software,4800.0,8401.0
27000.0,30000.0,0,Data Processing & Outsourced Services,0.0,30000.0
15600.0,20400.0,1,Systems Software,15600.0,20401.0
6000.0,10800.0,1,Systems Software,6000.0,10801.0
21600.0,24000.0,1,Life Sciences Tools & Services,21600.0,24001.0
30000.0,39000.0,0,Research & Consulting Services,0.0,39000.0
3600.0,6000.0,0,Regional Banks,0.0,6000.0
9600.0,16800.0,1,Systems Software,9600.0,16801.0
9600.0,12000.0,0,Systems Software,0.0,12000.0
14400.0,16800.0,1,Regional Banks,14400.0,16801.0
7200.0,18000.0,1,Systems Software,7200.0,18001.0
12000.0,22800.0,0,Application Software,0.0,22800.0
10800.0,18000.0,0,Regional Banks,0.0,18000.0
1200.0,4200.0,10,Human Resource & Employment Services,12000.0,4210.0
10800.0,18000.0,1,Systems Software,10800.0,18001.0
16800.0,19200.0,1,Advertising,16800.0,19201.0
2700.0,8700.0,0,Internet & Direct Marketing Retail,0.0,8700.0
8400.0,9600.0,0,Systems Software,0.0,9600.0
18000.0,30000.0,0,Systems Software,0.0,30000.0
3600.0,3900.0,0,Systems Software,0.0,3900.0
3600.0,9600.0,0,Human Resource & Employment Services,0.0,9600.0
1200.0,2100.0,0,Internet & Direct Marketing Retail,0.0,2100.0
4800.0,9600.0,1,Health Care Facilities,4800.0,9601.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
7200.0,12000.0,1,Human Resource & Employment Services,7200.0,12001.0
9600.0,12000.0,0,Systems Software,0.0,12000.0
6000.0,10800.0,1,Systems Software,6000.0,10801.0
4800.0,9600.0,1,IT Consulting & Other Services,4800.0,9601.0
1200.0,1800.0,20,Data Processing & Outsourced Services,24000.0,1820.0
10800.0,16800.0,1,Semiconductors,10800.0,16801.0
6000.0,10800.0,1,Systems Software,6000.0,10801.0
3600.0,7200.0,0,Systems Software,0.0,7200.0
14400.0,24000.0,50,Systems Software,720000.0,24050.0
15600.0,20400.0,1,Systems Software,15600.0,20401.0
14400.0,20400.0,1,Human Resource & Employment Services,14400.0,20401.0
2400.0,3600.0,0,Human Resource & Employment Services,0.0,3600.0
