min_salary,max_salary,vacany,description,min_expense,max_expense
66430,76394,1,Health Care Services,66430.0,76395.0
56181,68034,5,Research & Consulting Services,280905.0,68039.0
55150,58508,1,Research & Consulting Services,55150.0,58509.0
61206,70387,1,Data Processing & Outsourced Services,61206.0,70388.0
225000,225000,1,Research & Consulting Services,225000.0,225001.0
80557,111917,1,Research & Consulting Services,80557.0,111918.0
56181,68034,2,Research & Consulting Services,112362.0,68036.0
54100,83981,1,Diversified Support Services,54100.0,83982.0
75504,86830,1,Research & Consulting Services,75504.0,86831.0
45329,52128,2,Construction & Engineering,90658.0,52130.0
58682,127720,1,Research & Consulting Services,58682.0,127721.0
41887,48170,1,Human Resource & Employment Services,41887.0,48171.0
71707,82463,1,Research & Consulting Services,71707.0,82464.0
85000,108000,1,Research & Consulting Services,85000.0,108001.0
58152,71556,1,Human Resource & Employment Services,58152.0,71557.0
59116,67983,1,Research & Consulting Services,59116.0,67984.0
59116,70087,1,Health Care Services,59116.0,70088.0
39763,64420,1,Human Resource & Employment Services,39763.0,64421.0
49961,49961,1,Environmental & Facilities Services,49961.0,49962.0
66114,66114,1,Research & Consulting Services,66114.0,66115.0
58851,84257,1,Research & Consulting Services,58851.0,84258.0
75877,81715,4,Research & Consulting Services,303508.0,81719.0
94715,136260,1,Research & Consulting Services,94715.0,136261.0
58682,159671,1,Construction & Engineering,58682.0,159672.0
78721,209971,1,Research & Consulting Services,78721.0,209972.0
117935,117935,1,Research & Consulting Services,117935.0,117936.0
69090,105477,3,Research & Consulting Services,207270.0,105480.0
56313,64760,1,Research & Consulting Services,56313.0,64761.0
43728,50287,1,Health Care Services,43728.0,50288.0
70087,77097,1,Research & Consulting Services,70087.0,77098.0
70022,70022,1,Oil & Gas Equipment & Services,70022.0,70023.0
64857,98100,1,Data Processing & Outsourced Services,64857.0,98101.0
37.2102,50.2288,1,Health Care Services,37.2102,51.2288
66075,80000,1,Research & Consulting Services,66075.0,80001.0
65574,110229,1,Data Processing & Outsourced Services,65574.0,110230.0
80931,208826,1,Research & Consulting Services,80931.0,208827.0
115000,130000,1,Research & Consulting Services,115000.0,130001.0
