Team,Tournament,Goals,Shots pg,yellow_cards,red_cards,Possession%,Pass%,AerialsWon,Rating,URL
Manchester City,Premier League,83,15.8,46,2,60.8,89.4,12.8,7.01,https://www.wikidata.org/wiki/Q50602
Bayern Munich,Bundesliga,99,17.1,44,3,58.1,85.5,12.9,6.95,https://www.wikidata.org/wiki/Q15789
Paris Saint-Germain,Ligue 1,86,15.0,73,7,60.1,89.5,9.5,6.88,https://www.wikidata.org/wiki/Q483020
Barcelona,LaLiga,85,15.3,68,2,62.4,89.7,10.6,6.87,https://www.wikidata.org/wiki/Q7156
Real Madrid,LaLiga,67,14.4,57,2,57.7,87.7,11.8,6.86,https://www.wikidata.org/wiki/Q8682
Manchester United,Premier League,73,13.8,64,1,54.5,84.8,14.5,6.85,https://www.wikidata.org/wiki/Q18656
Juventus,Serie A,77,15.7,76,6,55.4,88.3,11.4,6.85,https://www.wikidata.org/wiki/Q1422
Aston Villa,Premier League,55,13.7,63,4,49.1,78.6,19.4,6.84,https://www.wikidata.org/wiki/Q18711
Borussia Dortmund,Bundesliga,75,14.6,43,1,57.5,85.5,12.8,6.84,https://www.wikidata.org/wiki/Q41420
Atletico Madrid,LaLiga,67,12.1,100,0,51.8,83.1,14.4,6.84,https://www.wikidata.org/wiki/Q8701
Atalanta,Serie A,90,16.3,66,3,53.5,83.5,16.8,6.84,https://www.wikidata.org/wiki/Q1886
Chelsea,Premier League,58,14.6,49,3,58.6,87.0,15.2,6.83,https://www.wikidata.org/wiki/Q9616
Liverpool,Premier League,68,16.0,40,0,59.0,85.7,14.3,6.82,https://www.wikidata.org/wiki/Q1130849
AC Milan,Serie A,74,14.7,80,4,51.4,84.0,15.2,6.82,https://www.wikidata.org/wiki/Q1543
Lille,Ligue 1,64,12.8,67,2,52.6,83.5,15.8,6.82,https://www.wikidata.org/wiki/Q19516
Tottenham,Premier League,68,11.7,53,2,51.3,81.8,16.4,6.81,https://www.wikidata.org/wiki/Q18741
Napoli,Serie A,86,17.0,71,3,54.1,87.0,11.1,6.81,https://www.wikidata.org/wiki/Q2641
Leicester,Premier League,68,12.8,61,0,53.2,82.1,16.2,6.8,https://www.wikidata.org/wiki/Q19481
Wolfsburg,Bundesliga,61,14.1,56,3,51.0,78.0,16.9,6.8,https://www.wikidata.org/wiki/Q101859
Inter,Serie A,89,14.5,59,2,52.0,87.0,11.8,6.8,https://www.wikidata.org/wiki/Q631
Lyon,Ligue 1,81,16.1,60,10,53.6,84.7,14.3,6.8,https://www.wikidata.org/wiki/Q704
RB Leipzig,Bundesliga,60,16.0,57,0,57.3,83.2,18.6,6.78,https://www.wikidata.org/wiki/Q702455
Leeds,Premier League,62,13.7,61,1,55.1,80.8,14.5,6.77,https://www.wikidata.org/wiki/Q1128631
West Ham,Premier League,62,12.3,48,3,44.5,77.8,19.9,6.77,https://www.wikidata.org/wiki/Q18747
Everton,Premier League,47,10.5,59,2,47.3,81.4,17.7,6.73,https://www.wikidata.org/wiki/Q5794
Bayer Leverkusen,Bundesliga,53,13.0,58,0,57.3,84.4,13.1,6.73,https://www.wikidata.org/wiki/Q104761
Eintracht Frankfurt,Bundesliga,69,13.2,80,1,52.4,79.6,17.9,6.73,https://www.wikidata.org/wiki/Q38245
Monaco,Ligue 1,76,12.8,74,7,54.2,82.7,16.5,6.73,https://www.wikidata.org/wiki/Q180305
Roma,Serie A,68,14.3,84,3,51.5,84.5,12.1,6.71,https://www.wikidata.org/wiki/Q2739
Sevilla,LaLiga,53,12.1,75,2,58.7,86.2,16.6,6.7,https://www.wikidata.org/wiki/Q10329
Borussia M.Gladbach,Bundesliga,64,13.4,61,2,51.5,82.0,15.3,6.7,https://www.wikidata.org/wiki/Q101959
Arsenal,Premier League,55,12.1,47,5,52.7,85.0,13.5,6.69,https://www.wikidata.org/wiki/Q9617
Rennes,Ligue 1,52,13.5,80,5,56.8,85.6,16.9,6.69,https://www.wikidata.org/wiki/Q19509
VfB Stuttgart,Bundesliga,56,13.4,63,2,51.5,81.1,16.3,6.68,https://www.wikidata.org/wiki/Q4512
Wolverhampton Wanderers,Premier League,36,12.2,53,1,49.7,83.2,15.3,6.67,https://www.wikidata.org/wiki/Q19500
Sassuolo,Serie A,64,13.9,74,4,58.2,87.8,10.9,6.67,https://www.wikidata.org/wiki/Q8603
Metz,Ligue 1,44,11.5,82,4,46.9,79.8,16.1,6.66,https://www.wikidata.org/wiki/Q221525
Villarreal,LaLiga,60,10.7,65,5,54.3,84.4,13.0,6.66,https://www.wikidata.org/wiki/Q12297
Real Sociedad,LaLiga,59,11.3,81,1,53.7,80.8,17.9,6.65,https://www.wikidata.org/wiki/Q10315
Brighton,Premier League,40,12.8,45,6,50.7,81.3,14.2,6.65,https://www.wikidata.org/wiki/Q19453
Real Betis,LaLiga,50,11.7,87,8,52.9,82.0,16.4,6.64,https://www.wikidata.org/wiki/Q8723
Burnley,Premier League,33,10.1,48,0,43.5,71.6,23.4,6.64,https://www.wikidata.org/wiki/Q19458
Lens,Ligue 1,55,11.7,84,7,51.1,81.8,17.4,6.64,https://www.wikidata.org/wiki/Q191843
Brest,Ligue 1,50,11.8,60,4,49.4,81.3,18.6,6.64,https://www.wikidata.org/wiki/Q218372
Fulham,Premier League,27,11.6,67,3,50.0,81.2,17.2,6.63,https://www.wikidata.org/wiki/Q18708
Marseille,Ligue 1,54,10.0,94,9,52.4,82.0,14.9,6.63,https://www.wikidata.org/wiki/Q132885
Sampdoria,Serie A,52,11.3,81,3,46.1,78.5,16.8,6.63,https://www.wikidata.org/wiki/Q1457
Montpellier,Ligue 1,60,12.2,65,7,46.4,78.8,17.9,6.63,https://www.wikidata.org/wiki/Q19513
Nice,Ligue 1,50,10.8,69,4,53.4,85.6,10.5,6.63,https://www.wikidata.org/wiki/Q185163
Hoffenheim,Bundesliga,52,12.6,65,4,50.8,80.7,15.7,6.63,https://www.wikidata.org/wiki/Q22707
Southampton,Premier League,47,11.2,52,3,51.4,79.3,14.1,6.62,https://www.wikidata.org/wiki/Q18732
